id,name
10,40-Mile Air
22,Aloha Airlines
24,American Airlines
35,Allegiant Air
109,Alaska Central Express
149,Air Cargo Carriers
210,Airlift International
281,America West Airlines
282,Air Wisconsin
287,Allegheny Commuter Airlines
295,Air Sunshine
315,ATA Airlines
397,Arrow Air
452,Atlantic Southeast Airlines
659,American Eagle Airlines
792,Access Air
882,Air Florida
928,Atlas Air
1316,AirTran Airways
1442,Bemidji Airlines
1472,Bering Air
1629,Cape Air
1739,Chautauqua Airlines
1814,Coastal Air
1821,Colgan Air
1828,Comair
1843,CommutAir
1860,Compass Airlines
1881,Continental Airlines
1883,Continental Express
1884,Continental Micronesia
1931,Crown Airways
2009,Delta Air Lines
2261,Evergreen International Airlines
2293,Express One International
2295,ExpressJet
2404,Florida West International Airways
2454,Freedom Air
2456,Freedom Airlines
2468,Frontier Airlines
2470,Frontier Flying Service
2577,GoJet Airlines
2607,Great Lakes Airlines
2645,Gulfstream International Airlines
2657,Hageland Aviation Services
2688,Hawaiian Airlines
2778,Horizon Air
2855,Indigo
2937,Island Airlines
3001,Jet Airways
3029,JetBlue Airways
3123,Kenmore Air
3466,Mesa Airlines
3467,Mesaba Airlines
3494,Midway Airlines
3497,Midwest Airlines
3641,NetJets
3644,New England Airlines
3731,Northwest Airlines
3781,Omni Air International
3860,Pacific Island Aviation
3865,Pacific Wings
3935,Peninsula Airways
3969,Piedmont Airlines (1948-1989)
3976,Pinnacle Airlines
4026,Potomac Air
4187,Republic Airlines
4294,Ryan Air Services
4295,Ryan International Airlines
4335,Seaborne Airlines
4342,Scenic Airlines
4356,Sun Country Airlines
4370,Southeast Air
4411,Skagway Air Service
4547,Southwest Airlines
4589,Skywalk Airlines
4687,Spirit Airlines
4738,SkyWest
4804,Southern Airways
4816,South Pacific Island Airways
4822,Shuttle America
5160,Trans States Airlines
5207,USA3000 Airlines
5209,United Airlines
5265,US Airways
5268,US Helicopter
5279,United States Air Force
5284,US Helicopter Corporation
5331,Virgin America
5424,Western Airlines
5465,World Airways
8461,Carnival Air Lines
8809,Island Air (WP)
9833,Epic Holiday
10123,Texas Wings
10226,Atifly
10739,Air Choice One
10748,Locair
10765,SeaPort Airlines
10776,Salmon Air
10912,Alaska Seaplane Service
12961,Gryphon Airlines
13391,U.S. Air
13633,PanAm World Airways
15887,CBM America
15975,Black Stallion Airways
16135,Yellowstone Club Private Shuttle
16264,Trans Pas Air
16625,Papillon Grand Canyon Helicopters
16702,Usa Sky Cargo
16726,Era Alaska
16735,Hankook Air US
16932,Orbit Airlines
17519,SENIC AIRLINES
17563,XOJET
17628,Orbit International Airlines
17629,Orbit Regional Airlines
17630,Orbit Atlantic Airways
17841,Aws express
17859,Southjet
17860,Southjet connect
17862,Southjet cargo
18169,Patriot Airways
18178,Vision Airlines (V2)
18239,Yellowtail
18241,Royal Airways
18257,Executive AirShare
18529,T.J. Air
18930,Maryland Air
19016,Apache Air
19287,National Air Cargo
19290,Eastern Atlantic Virtual Airlines
19350,Comfort Express Virtual Charters Albany
19351,Comfort Express Virtual Charters
19433,XAIR USA
19619,Envoy Air
19674,Rainbow Air (RAI)
19676,Rainbow Air Polynesia
19678,Rainbow Air US
19774,Spike Airlines
19804,All America
19890,Dense Airways
19891,Dense Connection
19917,Jet Suite
20060,San Dima Air
20222,OneJet
20565,Boutique Air (Priv)
20607,Liberty Airways
20710,Silver Airways (3M)
20808,Alghanim
20931,Southern Airways Express
20976,World Scale Airlines
20978,All America US
20991,Choice Airways
20996,Dynamic Airways
21124,ViaAir